*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LisaKeysPlus
*Date=04:13:44
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;300 mil [THT];82.3155;-71.3367;-90;Bottom;D26
2;;300 mil [THT];72.9034;-90.4326;-90;Bottom;D3
3;;300 mil [THT];225.303;-90.4326;-90;Bottom;D11
4;;;456.346;-12.986;0;Bottom;Hole39
5;0.030;3 mm [THT];41.5958;-47.3465;0;Bottom;LED4
6;;300 mil [THT];407.127;-71.4532;-90;Bottom;D69
7;;;91.7184;-15.1732;0;Bottom;MX58
8;;300 mil [THT];369.143;-90.4326;-90;Bottom;D63
9;;;272.199;-27.7323;0;Bottom;Via1
10;;;301.321;-72.2939;0;Bottom;MX27
11;;;196.635;-91.3733;0;Bottom;MX9
12;;;294.153;-53.2343;0;Bottom;MX32
13;;;311.945;-46.0768;0;Bottom;Via4
14;;;263.084;-19.4067;0;Bottom;Via26
15;;;148.991;-72.2939;0;Bottom;MX24
16;;;417.497;-24.957;-90;Bottom;IMG3
17;;;326.387;-93.3959;0;Bottom;Via19
18;;300 mil [THT];38.5216;-42.456;-90;Bottom;D29
19;;;172.72;-14.6806;0;Bottom;IMG2
20;;;313.751;-44.6657;0;Bottom;Via15
21;;;103.548;-7.27122;0;Bottom;Hole51
22;;;310.159;-67.5522;0;Bottom;Via9
23;;;323.988;-90.997;0;Bottom;Via18
24;;;455.09;-98.4289;0;Bottom;Hole34
25;;300 mil [THT];87.1674;-52.3361;-90;Bottom;D40
26;;300 mil [THT];272.722;-71.3367;-90;Bottom;D22
27;;;241.837;-7.27122;0;Bottom;Hole55
28;;;253.643;-14.6794;0;Bottom;IMG3
29;;THT;328.949;-35.9167;-90;Bottom;J4
30;;;177.585;-91.3733;0;Bottom;MX8
31;;;339.039;-33.5179;0;Bottom;Via14
32;;;341.273;-75.1456;0;Bottom;TXT1
33;;;341.273;-77.615;0;Bottom;TXT3
